,t,x,y,z,r,phi,theta
31,1711.0,109.83295658287221,30.910245539241842,-57.18704349582172,118.0,0.0,62.0
32,1741.0,-68.78655681598111,81.08239832844994,-53.29260163571477,128.0,0.0,64.0
33,1772.0,-21.795552041560192,-46.531252078548334,-25.75325784535627,232.0,0.0,66.0
34,1804.0,55.230036015720955,-0.4888772819810068,-27.682532201857374,221.0,0.0,68.0
35,1835.0,-14.21208299489148,31.79471701225183,-17.45515478680027,305.0,0.0,70.0
36,1865.0,-45.14680967928026,-51.34608571654525,-34.2679601916497,190.0,0.0,72.0
37,1896.0,44.243772457157775,-13.301104509390765,-23.155518593391356,249.0,0.0,74.0
38,1927.0,-7.071542434955675,51.23054311027504,-25.92035144230834,231.0,0.0,76.0
39,1957.0,-53.050207431398036,-33.732501112810816,-31.508901923561474,202.0,0.0,78.0
40,1989.0,47.284123815330155,-30.65717364258537,-28.244236211923624,218.0,0.0,80.0
41,2020.0,7.286889542821867,49.548746297251434,-25.10108915747787,236.0,0.0,82.0
42,2051.0,-76.75476994565533,-22.336113272497762,-40.06550178580358,168.0,0.0,84.0
43,2081.0,47.29186461917922,-54.755527338080704,-36.26259542937665,182.0,0.0,86.0
44,2112.0,18.661355881992495,40.77580650466342,-22.475536729552147,254.0,0.0,88.0
45,2143.0,-85.25158767273756,-0.0,-42.72833302915323,159.0,0.0,90.0
46,2174.0,19.110563654371393,-41.75734339419822,-23.016557749200818,250.0,0.0,92.0
47,2205.0,47.29186461917922,54.755527338080704,-36.26259542937665,182.0,0.0,94.0
48,2236.0,-49.336344065753416,14.35718158342247,-25.75325784535627,232.0,0.0,96.0
49,2267.0,6.887819226692965,-46.83518329723132,-23.726414884403145,245.0,0.0,98.0
50,2297.0,45.73121967321649,29.650331428039916,-27.31663963478006,223.0,0.0,100.0
51,2329.0,-45.99187247049682,29.244388748102626,-27.31663963478006,223.0,0.0,102.0
52,2360.0,-7.258371211020537,-52.584044097431445,-26.60516208718259,227.0,0.0,104.0
53,2391.0,50.503223277727365,15.182897243416964,-26.431478616928395,228.0,0.0,106.0
54,2421.0,-43.28415543664359,49.227663505050586,-32.854142429311224,196.0,0.0,108.0
55,2452.0,-24.613903353486407,-55.0652632673422,-30.230578663020832,208.0,0.0,110.0
56,2484.0,59.49265918263308,0.5266085560898287,-29.819054492895532,210.0,0.0,112.0
57,2514.0,-12.46042755294427,26.601725634981214,-14.7230317003425,400.0,0.0,114.0
58,2545.0,-23.57944436489005,-27.794353851323386,-18.268248819188432,294.0,0.0,116.0
59,2576.0,28.84562428069505,-8.118012634725376,-15.019134708984819,468.0,0.0,118.0
60,2608.0,-4.543727418812333,29.104078984775697,-14.763743426004366,388.0,0.0,120.0
61,2638.0,-24.573406339516673,-16.243170050255927,-14.763743426004366,388.0,0.0,122.0
62,2669.0,24.977112128574657,-15.573203503813154,-14.752576765451076,419.0,0.0,124.0
63,2700.0,3.7630244993491058,29.165211899638347,-14.738855674551964,415.0,0.0,126.0
64,2731.0,-28.501513974736138,-8.844295139338954,-14.957001717847318,507.0,0.0,128.0
65,3844.0,-48.67437868957011,-97.11514042541037,75.31128714931424,113.0,3.0,0.0
66,3874.0,53.91612101532007,-1.9097360366371534,37.40243956924901,212.0,3.0,2.0
67,3905.0,-43.162124062070234,103.87956631144733,77.9869247805077,108.0,3.0,4.0
68,3936.0,-69.34611333716224,-74.76785635119668,70.69801699545607,122.0,3.0,6.0
69,3968.0,116.8886233884739,-38.55295461384988,85.33064540538993,95.0,3.0,8.0
70,3998.0,-12.331183872819132,111.02572466169823,77.44527200366524,109.0,3.0,10.0
71,4029.0,-95.15767906867102,-57.01657798651067,76.90689162432881,110.0,3.0,12.0
72,4060.0,100.07336914576968,-68.7251550264793,84.1638784115554,97.0,3.0,14.0
73,4090.0,18.916379108727124,108.52369330831391,76.37177387029423,111.0,3.0,16.0
74,4121.0,-105.07273744004638,-27.572912205966364,75.31128714931424,113.0,3.0,18.0
75,4152.0,75.30902232615306,-92.02460675663922,82.4391259699607,100.0,3.0,20.0
76,4184.0,50.55572241315006,103.13779896946976,79.63161521811264,105.0,3.0,22.0
77,4214.0,-91.01496482291782,2.4174045910647086,63.12115924156407,138.0,3.0,24.0
78,4245.0,33.94114504947603,-79.68906731030995,60.04925875021552,145.0,3.0,26.0
79,4276.0,42.03376954812496,46.13247311310413,43.26783312740197,191.0,3.0,28.0
80,4306.0,-128.975998673997,41.277528836243995,93.88422364644387,81.0,3.0,30.0
81,4337.0,17.61168140858998,-146.72039674663066,102.4485867126249,68.0,3.0,32.0
82,4369.0,105.016390362147,64.19375625724992,85.33064540538993,95.0,3.0,34.0
