,t,x,y,z,r,theta,phi
62,13442.0,0.0,0.0,119.7816457909162,119.7816457909162,62.0,0.0
63,13642.0,0.0,0.0,113.17646301415277,113.17646301415277,63.0,0.0
64,13843.0,0.0,0.0,118.93715612202357,118.93715612202357,64.0,0.0
65,14045.0,0.0,0.0,96.73401098463111,96.73401098463111,65.0,0.0
66,14245.0,0.0,0.0,114.79562995970969,114.79562995970969,66.0,0.0
67,14446.0,0.0,0.0,98.12762945538111,98.12762945538111,67.0,0.0
68,14647.0,0.0,0.0,101.69868101446886,101.69868101446886,68.0,0.0
69,14849.0,0.0,0.0,90.70430074768652,90.70430074768652,69.0,0.0
70,15049.0,0.0,0.0,63.88988540175603,63.88988540175603,70.0,0.0
71,15250.0,0.0,0.0,34.05450152829974,34.05450152829974,71.0,0.0
72,15452.0,0.0,0.0,32.888544632351085,32.888544632351085,72.0,0.0
73,15652.0,0.0,0.0,32.93321344854647,32.93321344854647,73.0,0.0
74,15853.0,0.0,0.0,32.93321344854647,32.93321344854647,74.0,0.0
75,16054.0,0.0,0.0,33.11746217003909,33.11746217003909,75.0,0.0
76,16256.0,0.0,0.0,32.93321344854647,32.93321344854647,76.0,0.0
77,16456.0,0.0,0.0,32.972194885702976,32.972194885702976,77.0,0.0
78,16657.0,0.0,0.0,32.972194885702976,32.972194885702976,78.0,0.0
79,16859.0,0.0,0.0,33.04054707428324,33.04054707428324,79.0,0.0
80,17059.0,0.0,0.0,31.595036069314432,31.595036069314432,80.0,0.0
81,17260.0,0.0,0.0,33.0284603447609,33.0284603447609,81.0,0.0
82,17462.0,0.0,0.0,32.90078202477844,32.90078202477844,82.0,0.0
83,17662.0,0.0,0.0,32.865329402891206,32.865329402891206,83.0,0.0
84,17863.0,0.0,0.0,35.86760973188254,35.86760973188254,84.0,0.0
85,18065.0,0.0,0.0,63.46040317599673,63.46040317599673,85.0,0.0
86,18266.0,0.0,0.0,77.56484165534297,77.56484165534297,86.0,0.0
87,18466.0,0.0,0.0,82.67297492775126,82.67297492775126,87.0,0.0
88,18667.0,0.0,0.0,83.26303131594403,83.26303131594403,88.0,0.0
89,18869.0,0.0,0.0,51.67793362489817,51.67793362489817,89.0,0.0
90,19069.0,0.0,0.0,85.66902933198483,85.66902933198483,90.0,0.0
91,19270.0,-0.0,0.0,53.60949966057407,53.60949966057407,91.0,0.0
92,19472.0,-0.0,0.0,82.67297492775126,82.67297492775126,92.0,0.0
93,19673.0,-0.0,0.0,47.10527714034836,47.10527714034836,93.0,0.0
94,19873.0,-0.0,0.0,67.93315843907925,67.93315843907925,94.0,0.0
95,20074.0,-0.0,0.0,40.0759848280569,40.0759848280569,95.0,0.0
96,20276.0,-0.0,0.0,60.562020057871564,60.562020057871564,96.0,0.0
97,20476.0,-0.0,0.0,42.28443659762479,42.28443659762479,97.0,0.0
98,20677.0,-0.0,0.0,58.60522288660374,58.60522288660374,98.0,0.0
99,20879.0,-0.0,0.0,52.628444646557824,52.628444646557824,99.0,0.0
100,21080.0,-0.0,0.0,34.98904280967835,34.98904280967835,100.0,0.0
101,21280.0,-0.0,0.0,32.96189549371513,32.96189549371513,101.0,0.0
102,21482.0,-0.0,0.0,33.07816580712475,33.07816580712475,102.0,0.0
103,21683.0,-0.0,0.0,33.07816580712475,33.07816580712475,103.0,0.0
104,21883.0,-0.0,0.0,32.90078202477844,32.90078202477844,104.0,0.0
105,22085.0,-0.0,0.0,32.9244486495233,32.9244486495233,105.0,0.0
106,22286.0,-0.0,0.0,32.87599832514516,32.87599832514516,106.0,0.0
107,22487.0,-0.0,0.0,32.87112599511096,32.87112599511096,107.0,0.0
108,22688.0,-0.0,0.0,32.855563500705756,32.855563500705756,108.0,0.0
109,22889.0,-0.0,0.0,32.85433089509067,32.85433089509067,109.0,0.0
110,23090.0,-0.0,0.0,32.86991026007138,32.86991026007138,110.0,0.0
111,23291.0,-0.0,0.0,32.89644386245877,32.89644386245877,111.0,0.0
112,23492.0,-0.0,0.0,33.17821488766552,33.17821488766552,112.0,0.0
