,t,x,y,z
0,1556.0,21.60844277445767,43.113173930776156,-24.17060784928436
1,1587.0,-46.734081738254154,1.6553446048043825,-23.43794078557159
2,1617.0,23.78996833912626,-57.25602359322272,-31.075440896450854
3,1648.0,60.083717277873845,64.78129092305693,-44.28394979130374
4,1679.0,-116.21156343117308,38.3296423611431,-61.331922590717745
5,1710.0,11.90462636061948,-107.18514800739598,-54.05182392037072
6,1741.0,92.50910667680749,55.42960638514755,-54.05182392037072
7,1772.0,-84.5985774760566,58.09787760410766,-51.43689303187322
8,1803.0,-21.605607491990433,-123.95185715636434,-63.0617181476997
9,1833.0,57.5465638987636,15.101218382561083,-29.819054492895532
10,1864.0,-84.79670881167377,103.61817935779509,-67.10730745376738
11,1895.0,-43.593335215873495,-88.93396097004403,-49.64091177252819
12,1927.0,132.0151929258172,-3.506391878413437,-66.18971693268108
13,1957.0,-47.28729076661292,111.02395312031432,-60.482542901537734
14,1988.0,-76.30860482823547,-83.7494399950645,-56.78645644067034
15,2019.0,116.54627852477766,-37.29951635980884,-61.331922590717745
16,2050.0,-12.058572252686476,100.45823928254444,-50.71138704346071
17,2080.0,-103.68293934134101,-63.37865273373884,-60.90594597638338
18,2112.0,133.31348932237225,-89.82664252315845,-80.56951607556694
19,2143.0,22.739452544263564,137.64810008601899,-69.92467213229092
20,2173.0,-86.48784727931722,-23.516098605603972,-44.92173662599117
21,2204.0,85.71054357247108,-102.86355836362807,-67.10730745376738
22,2235.0,44.986917892482275,93.87031159790013,-52.17195539540519
23,2266.0,-121.50052745248996,2.1511303007480405,-60.90594597638338
24,2296.0,44.05958881912856,-100.95761277188409,-55.2089982387864
25,2328.0,62.3942598705859,69.70779873136424,-46.88917683991382
26,2359.0,-88.714628849629,27.529006403607966,-46.55559200392871
27,2390.0,14.498332267844745,-112.36890242308984,-56.78645644067034
28,2420.0,92.81535924953485,57.87028021621881,-54.82081776680645
29,2451.0,-87.4549665124723,57.80826122250438,-52.543089430935616
30,2483.0,-15.386704709988354,-98.5569396924726,-49.995375948264694
31,2513.0,62.223694578328555,17.51158975970662,-32.398191208088726
32,2544.0,-75.38383234093683,88.8589603015696,-58.40386163631466
33,2575.0,-15.95959428083253,-34.072085127127515,-18.857588274792416
34,2606.0,43.063980610770365,-0.381187544152308,-21.58463249342226
35,2636.0,-28.498091553244308,63.754817407859186,-35.00110429759583
36,2668.0,-49.856641581003785,-56.702642121180894,-37.84288239023188
37,2699.0,81.06012877358579,-24.369288251949417,-42.42380825046042
38,2729.0,-8.419571840527503,60.99648586057106,-30.861479388351253
39,2760.0,-53.792525871594776,-34.20451166323849,-31.94979820013978
